Name," ""ShortName"""," ""ModeAndPID"""," ""Equation"""," ""Min Value"""," ""Max Value"""," ""Units"""," ""Header"""," ""startDiagnostic"""," ""stopDiagnostic"""," ""Scale"""
MGZSEV_HV_Current,Current,0x22b043,(INT16(A:B)-40000)/40,-100,100,A,781,,,1
MGZSEV_SOH,SoH,0x22b061,INT16(A:B)/100,0,100,%,781,,,1
MGZSEV_HV_Battery_Temp,Batt Temp,0x22b056,(A/2)-40,0,50,c,781,,,1
MGZSEV_HV_Battery_Volts,HV Volts,0x22b042,INT16(A:B)/4,300,480,V,781,,,1
MGZSEV_Batt Coolant,Batt Coolant,0x22b05c,(A/2)-40,0,50,c,781,,,1
MGZSEV_Status,Status,0x22b048,LOOKUP(A:A:1='ready/idle off':3='running':6='charging':7='charging':10='connected not charging'),0,100,Status,781,,,1
MGZSEV_12v_Battery Volts,12v Batt,0x22b584,INT16(A:B)/10,10,15,V,7E3,,,1
MGZSEV_Tyre_Pressure_Front_Left,TP FL,0x22b001,A*4,0,300,kPa,724,,,1
MGZSEV_Tyre_Pressure_Front_Right,TP FR,0x22b001,B*4,0,300,kPa,724,,,1
MGZSEV_Tyre_Pressure_Rear_Right,TP RR,0x22b001,C*4,0,300,kPa,724,,,1
MGZSEV_Tyre_Pressure_Rear_Left,TP RL,0x22b001,D*4,0,300,kPa,724,,,1
MGZSEV_Outside Temp,Outside,0x22bb05,A-40,0,50,c,7E3,,,1
MGZSEV_Charging_Rate,Dis   Chg,,(VAL{MGZSEV_HV_Battery_Volts}*VAL{MGZSEV_HV_Current}/1000)*-1,-80,80,kW,,,,1
MGZSEV_Range_60MPH,Range,,(42*VAL{MGZSEV_Cons_60MPH})*(1-((25-VAL{XX_OAT_Factored})*1.3/100))*(VAL{MGZSEV_SoC_Display}/100)*(VAL{MGZSEV_SOH}/100),0,200,max 60mph,,,,1
MGZSEV_Target_Cons_60MPH,Target m/kwh,,VAL{MGZSEV_Range_60MPH}/(42*(VAL{MGZSEV_SOC_Display}/100)),0,10,max 60mph,,,,1
MGZSEV_Range_70MPH,Range,,(42*VAL{XX_Cons_70MPH})*(1-((25-VAL{XX_OAT_Factored})*1.3/100))*(VAL{MGZSEV_SoC_Display}/100)*(VAL{MGZSEV_SOH}/100),0,200,max 70mph,,,,1
MGZSEV_Target_Cons_70MPH,Target m/kwh,,VAL{MGZSEV_Range_70MPH}/(42*(VAL{MGZSEV_SOC_Display}/100)),0,10,max 70mph,,,,1
MGZSEV_SoC_Display,SoC,,LOOKUP(1.1*(VAL{XX_Raw_SOC}+VAL{XX_BMS_Version_SoC _Factor})::-10~0=0:100~110=100),0,100,Batt %,,,,1
MGZSEV_Cons_60MPH,Cons 60,,4,0,10,m/Kwh,,,,1
MGZSEV_Range_Charger_To_Charger,Charger,,((42*VAL{MGZSEV_Cons_60MPH})*(1-((25-VAL{XX_OAT_Factored})/100)))*(85-15)/100,1,200,Range,,,,1
