Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
Z_MG_SoC_RAW,SoC_R,22B046,((A*256)+B)*(sqrt(B)/sqrt(B))*0.1,0,100,%,
!MG_SoC,SoC,,val{!MG_SoC}+((val{Z_MG_SoC_RAW}-val{!MG_SoC})*INT((val{Z_MG_SoC_RAW}/(val{Z_MG_SoC_RAW}+0.01))+0.1)),0,100,%,
Z_MG_SoH_RAW,SoH_R,22B061,((A*256)+B)*0.01*(sqrt(B)/sqrt(B)),0,100,%,
!MG_SoH,SoH,,val{!MG_SoH}+((val{Z_MG_SoH_RAW}-val{!MG_SoH})*INT((val{Z_MG_SoH_RAW}/(val{Z_MG_SoH_RAW}+0.01))+0.1)),0,100,%,
Z_MG_BattAmp_RAW,BattA_R,22B043,((((A*256)+B)*0.025)-1000)*(sqrt(B)/sqrt(B)),-1000,638.4,A,
!MG_BattAmp,BattA,,val{!MG_BattAmp}+((val{Z_MG_BattAmp_RAW}-val{!MG_BattAmp})*INT((abs(val{Z_MG_BattAmp_RAW})/(abs(val{Z_MG_BattAmp_RAW})+0.01))+0.1)),-1000,638.4,A,
Z_MG_BattVolt_RAW,BattV_R,22B042,((A*256)+B)*0.25*(sqrt(B)/sqrt(B)),0,16384,V,
!MG_BattVolt,BattV,,val{!MG_BattVolt}+((val{Z_MG_BattVolt_RAW}-val{!MG_BattVolt})*INT((val{Z_MG_BattVolt_RAW}/(val{Z_MG_BattVolt_RAW}+0.01))+0.1)),0,16384,V,
Z_MG_MaxCharge_RAW,MaxCharge_R,22B712,((A*256)+B)*0.1*(sqrt(B)/sqrt(B)),0,200,kw,
!MG_MaxCharge,MaxCharge,,val{!MG_MaxCharge}+((val{Z_MG_MaxCharge_RAW}-val{!MG_MaxCharge})*INT((val{Z_MG_MaxCharge_RAW}/(val{Z_MG_MaxCharge_RAW}+0.01))+0.1)),0,200,kw,
!MG_BattTemp,BattT,22B05C,(A/2)-40,-40,88,C,
!MG_BattPower,BattP,,val{!MG_BattAmp}*val{!MG_BattVolt}/1000,-200,200,kw,
Z_MG_Charging_RAW,CHG_R,22B048,BIT(A:1)*BIT(A:2),0,1,,
!MG_Charging,CHG,,VAL{Z_MG_Charging_RAW}+RDLY(2:[22B048])+RDLY(4:[22B048])+RDLY(8:[22B048])+RDLY(16:[22B048])+RDLY(32:[22B048])+RDLY(64:[22B048])+RDLY(128:[22B048]),0,1,,
